Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend,Ave,Upper,Lower
DHFL,EQ,220.35,223.55,234.5,223.55,227.6,228.0,228.88,14939699,3419451264.95,132667,1287674,8.62,3.4717494894486167,Among top gainers,208.193,248.697,167.688
DHFL,EQ,228.0,230.3,235.0,229.65,230.6,230.5,231.0,2337674,539998862.45,28349,501029,21.43,1.0964912280701844,Positive,207.807,247.264,168.35
DHFL,EQ,230.5,232.0,233.9,227.0,233.0,232.65,230.76,10177259,2348512834.8,91508,1266459,12.44,0.9327548806941532,Slight positive,209.386,251.024,167.748
DHFL,EQ,232.65,235.0,249.7,232.05,240.2,241.55,240.65,23851149,5739825761.75,211483,2874737,12.05,3.825488931871912,Among top gainers,213.182,256.246,170.119
DHFL,EQ,241.55,240.0,243.55,231.4,237.05,237.2,236.69,12943050,3063538158.25,112714,1263432,9.76,-1.8008693852204605,Negative,216.346,259.5,173.193
DHFL,EQ,237.2,239.1,244.9,236.55,237.5,238.9,240.91,10653510,2566530844.4,96826,1267770,11.9,0.7166947723440176,Slight positive,219.818,261.748,177.888
DHFL,EQ,238.9,239.0,246.7,228.4,242.85,244.35,238.56,12359848,2948508704.05,149586,1728512,13.98,2.2812892423608178,Positive,224.139,262.412,185.867
DHFL,EQ,244.35,245.45,247.0,222.35,226.0,225.35,232.35,16251271,3776008130.65,187438,2970911,18.28,-7.775731532637608,Bear drop,227.086,257.656,196.515
DHFL,EQ,225.35,227.0,235.0,225.7,231.55,231.4,231.37,9529435,2204864558.4,102558,1045674,10.97,2.6847126691812884,Positive,230.386,249.189,211.583
DHFL,EQ,231.4,229.65,241.45,220.0,226.25,225.3,229.94,22120570,5086479059.55,211990,2115391,9.56,-2.636127917026787,Negative,231.686,245.375,217.997
DHFL,EQ,225.3,227.7,238.8,224.25,235.0,234.85,232.4,24463945,5685363299.55,233919,2083019,8.51,4.238792720816687,Among top gainers,232.382,245.612,219.152
DHFL,EQ,234.85,238.65,242.85,230.0,231.4,232.75,237.49,20766936,4931962095.15,196347,1939215,9.34,-0.8941877794336751,Slight negative,232.468,245.69,219.245
DHFL,EQ,232.75,234.9,234.9,218.6,222.25,222.4,223.72,12876386,2880719462.25,112456,1655914,12.86,-4.446831364124592,Among top losers,231.825,246.104,217.546
DHFL,EQ,222.4,223.7,227.85,217.25,221.3,222.0,223.37,11852507,2647512856.9,103425,1539687,12.99,-0.17985611510791255,Slight or No change,231.943,245.836,218.05
DHFL,EQ,222.0,221.0,221.05,201.4,209.8,208.95,208.62,23687833,4941829007.5,223705,4247628,17.93,-5.878378378378379,Among top losers,230.582,249.101,212.064
DHFL,EQ,208.95,209.8,210.7,197.5,200.55,199.95,203.8,16701239,3403651729.55,146946,3558547,21.31,-4.307250538406315,Among top losers,228.4,253.121,203.679
